Title,Date
"Breaking Bad: Temporada 5: 51 (Cincuenta y uno)","2/12/26"
"Breaking Bad: Temporada 5: Peligro","2/12/26"
"Breaking Bad: Temporada 5: Madrigal","2/10/26"
"Breaking Bad: Temporada 5: Vive libre o muere","2/10/26"
"Breaking Bad: Temporada 4: Cara a cara","2/9/26"
"Breaking Bad: Temporada 4: Hermanos","2/9/26"
"Breaking Bad: Temporada 4: Navaja","2/9/26"
"Breaking Bad: Temporada 3: Medidas totales","2/9/26"
"Breaking Bad: Temporada 3: Medias medidas","2/9/26"
"Rápidos y furiosos 7","2/9/26"
"Rápidos y furiosos","2/9/26"
"Breaking Bad: Temporada 4: Entrepiso","2/8/26"
"Breaking Bad: Temporada 4: Fin de los tiempos","2/8/26"
"Breaking Bad: Temporada 2: Cuatro días afuera","2/8/26"
"Breaking Bad: Temporada 2: ¡Llama a Saul!","2/8/26"
"Rápido y furioso","2/8/26"
"Rápidos y furiosos 6","2/8/26"
"Rápidos y furiosos 5in control","2/8/26"
"Juego de honor","1/18/26"
"Canelo Álvarez vs. Terence Crawford","12/31/25"
"Jake Paul vs. Anthony Joshua","12/20/25"
"Better Call Saul: Temporada 4: Ganador","12/15/25"
"Better Call Saul: Temporada 3: Resbalón","12/15/25"
"Better Call Saul: Temporada 3: Caída","12/15/25"
"Better Call Saul: Temporada 3: Farol","12/15/25"
"Better Call Saul: Temporada 3: Segunda marca","12/15/25"
"Better Call Saul: Temporada 3: Artimaña","12/15/25"
"La ley de los audaces: Temporada 1: Vía rápida","8/4/25"
"El juego del calamar: Temporada 3: La naturaleza humana","7/22/25"
"El juego del calamar: Temporada 3: ○△□","7/22/25"
"El juego del calamar: Temporada 3: 222","7/22/25"
"El juego del calamar: Temporada 3: No es culpa tuya","7/22/25"
"El juego del calamar: Temporada 3: Noche estrellada","7/22/25"
"El juego del calamar: Temporada 3: Llaves y cuchillos","7/22/25"
"Raw: 2025: 21 de julio de 2025","7/22/25"
"El juego del calamar: Temporada 2: Sustento y azar","7/11/25"
"El juego del calamar: Temporada 1: Un día de suerte","7/11/25"
"El juego del calamar: Temporada 2: 001","7/11/25"
"El juego del calamar: Temporada 2: Fiesta de Halloween","7/11/25"
"Garra","7/9/25"
"El juego del calamar: Temporada 1: Luz roja, luz verde","7/8/25"
